recipe_name,excerpt
Tuscan Skillet Chicken,"This hearty one-pan chicken simmers with mushrooms, eggplant, artichokes, sun-dried tomatoes, and cannellini beans in a savory tomato base. Finished with herbs and parsley, it's rustic, comforting, and packed with Mediterranean flavor."
White Wine Braised Chicken with Summer Vegetable Ragout +,"Chicken thighs are gently braised in white wine and stock with shallots, garlic, mustard, and fresh herbs for a silky, flavorful sauce. Served with a vibrant summer vegetable ragout and sweet pea purée, it's a bright, bistro-style main."
Wild Mushroom + Thyme Risotto with White Truffle Essence,"Creamy Arborio risotto is cooked with wine and porcini-rich liquid, then finished with Parmesan and butter for a glossy, luxurious texture. Topped with thyme-sautéed mushrooms and a hint of truffle essence, it's earthy, elegant comfort food."
"Wild Mushroom Chicken with Sweet Peas, Swiss Char + Pearl Barley", Swiss Char + Pearl Barley,"Tender chicken and wild mushrooms come together in a creamy, thyme-scented sauce brightened with a splash of sherry vinegar. Served with nutty pearl barley, sweet peas, and Swiss chard, it's a cozy bowl that still tastes fresh."
"Grilled Asparagus + French Lentil Nicoise, Pickled Red Onion, Green", Pickled Red Onion, Green,"A Niçoise-inspired composed salad featuring French lentils, grilled asparagus, crisp green beans, potatoes, and jammy eggs over frisée and arugula. Finished with pickled red onion and an anchovy-kissed vinaigrette, it's bright, briny, and satisfying."
Heirloom Beet + Kale Salad with Maple Cider Vinaigrette,"Earthy heirloom beets and hearty kale are tossed with fresh herbs and a tangy maple-cider vinaigrette. With creamy herbed chèvre and crunchy pepitas, it's a colorful salad that balances sweet, sharp, and savory."
Heirloom Beet Salad with Garlic Goat Cheese + Savoury Walnut Granola,"A vibrant mix of roasted and pickled beets is layered over peppery arugula and topped with whipped roasted-garlic goat cheese. Finished with balsamic glaze, tarragon oil, and savory walnut granola, it's sweet, tangy, and wonderfully crunchy."
Italian Farro Salad with Artichoke + Preserved Lemon Vinaigrette,"Chewy, nutty farro forms the base of this Italian-style salad, tossed with artichokes and bright preserved-lemon vinaigrette. It's refreshing yet hearty, perfect as a make-ahead side or a light lunch."
"Mediterranean Summer Salad, Heirloom Tomato, Spiced Chickpeas +", Heirloom Tomato, Spiced Chickpeas +,"Juicy heirloom tomatoes anchor this Mediterranean-style summer salad with spiced roasted chickpeas and crisp shaved vegetables. Tossed with a preserved-lemon dressing and finished with lemony olive-and-basil feta, it's vibrant, salty, and refreshing."
"Ontario Smoked Trout Salad, IP8 Vinaigrette, Fava + Shaved Fennel", IP8 Vinaigrette, Fava + Shaved Fennel,"Delicate smoked trout is paired with fresh fava beans and shaved fennel for a salad that's clean, briny, and crisp. A bright vinaigrette ties it together, making it a light, elegant option for lunch or a starter."
"Pink Peppercorn Pavlova, Summer Berries, Candied Pistachios +", Summer Berries, Candied Pistachios +,"Crisp-edged, marshmallowy pavlova is perfumed with pink peppercorn for a subtle floral spice. Topped with summer berries and candied pistachios, it's a striking dessert that's light, crunchy, and juicy all at once."
Rustic Panzanella Salad with Pickled Red Onion + Ciabatta Herb,"This rustic panzanella combines oven-roasted tomatoes, crisp greens, cucumber, and shaved fennel with garlicky ciabatta crostini. Pickled red onion and a honey-balsamic vinaigrette add tang and brightness to every bite."
Seared Sesame Tuna Salad with a Miso Soy,"Sesame-seared tuna sits atop a crunchy slaw of Napa cabbage, carrots, scallions, and edamame for a fresh, satisfying salad. A punchy miso-soy-lime vinaigrette and crispy ginger finish it with bold, savory heat."
Stovetop Smoked Fish,"A simple stovetop smoking method turns trout into tender, gently smoky fish with minimal equipment. Brined with brown sugar, salt, and spices, it's flavorful and versatile for salads, spreads, or warm grain bowls."
duPuy Lentil Salad with Wintergreens + Roasted Carrot,"Nutty duPuy lentils are tossed with winter greens and roasted carrots for a hearty salad that still feels bright and fresh. Finished with a tangy vinaigrette plus herbed chèvre and spiced walnuts, it's perfect for cooler weather."
Coconut Rice,"Fragrant rice cooked with garlic, onion, and a hint of sesame oil is finished with toasted coconut for a savory-sweet aroma. With pops of red pepper and fresh Thai basil, it's an easy side that pairs beautifully with spicy mains."
"Cous Cous with Orange, Mint + Sugar Snap Peas", Mint + Sugar Snap Peas,"Israeli couscous is simmered until tender, then tossed with citrusy orange and lemon, sweet snap peas, and fresh mint. Light, bright, and herbaceous, it's a refreshing side for grilled fish, chicken, or vegetables."
Red Wine Braised Mushrooms,"Cremini mushrooms and onions are slowly braised in red wine with garlic and thyme for deep, savory flavor. Finished with butter and a touch of truffle oil, they're silky, rich, and perfect over steak, polenta, or toast."
Roasted Brussel Sprouts with Pancetta + Caramelized Onions,"Roasted Brussels sprouts turn crisp and nutty alongside salty pancetta and tart Granny Smith apple for contrast. Finished with sweet caramelized onions, it's a crowd-pleasing side with a perfect balance of savory and sweet."
Spring Harvest Vegetable Ragout,"A seasonal vegetable ragout that celebrates spring produce in a light, buttery, herb-forward finish. Serve it as a colorful side, a topping for grains, or alongside roast chicken or fish."
Sweet Pea Risotto with Prosciutto + Herbed Chevre,"Creamy risotto is folded with sweet peas, Parmesan, and a squeeze of lemon for a bright, springy finish. Topped with ribbons of prosciutto and herbed chèvre, it's rich, salty, and fresh in one bowl."
"Zucchini ""Tagliatelle"" + Deep Fried Caper","Long ribbons of zucchini are dressed like tagliatelle for a light, pasta-inspired side with lots of freshness. Finished with crispy fried capers, it delivers a salty crunch that wakes up every bite."
"Chicken Stock, Without a Recipe", Without a Recipe,"A foundational, no-fuss chicken stock built from raw bones and plenty of time for deep, savory flavor. Use it as the backbone for soups, sauces, risotto, and braises whenever you want extra richness."
Creamy Parsnip Soup with Sage Oil + Black Pepper Thyme Cracker,"Velvety parsnip soup is naturally sweet and earthy, blended until silky and finished with fragrant sage oil. Served with a crisp black-pepper thyme cracker, it's a comforting bowl with a refined, aromatic edge."
French Farmhouse Asparagus Bisque,"A classic farmhouse-style asparagus bisque made with leeks, garlic, and asparagus broth, blended smooth with spinach for vibrant color. Garnish with chive oil, black pepper cream, and crisp thyme crackers for a polished finish."
Moroccan Carrot Soup with Spiced Crema + Scallion Oil,"Roasted or simmered carrots create a sweet, silky soup enlivened with Moroccan-inspired spices. A cooling spiced crema and fragrant scallion oil add contrast, making each spoonful bright, creamy, and aromatic."
Provencal Spring Vegetable Soup with Sweet Corn + Courgette,"A creamy, chowder-like spring soup built with bacon, potatoes, and aromatics, then finished with sweet corn and tender courgette. Tarragon adds a fresh, anise-like lift for a comforting bowl that still tastes lively."
Roasted Cauliflower Soup with Chive Oil + Black Pepper Thyme Cracker,"Roasted cauliflower gives this soup a deep, nutty sweetness before it's blended into a smooth, creamy bowl. Finished with chive oil and a peppery thyme cracker, it's simple, elegant comfort."
"Roasted Potato + Leek Bisque with Pomme Paille, Sautéed Leeks + Chive Oil", Sautéed Leeks + Chive Oil,"This classic potato-leek bisque is blended silky and enriched with cream and a hint of nutmeg. Topped with sautéed leeks, crisp pomme paille, and bright chive oil, it's a layered, bistro-style bowl."
"Roasted Tomato Soup, Basil Oil, Tomato Tartar + Grilled Ciabatta", Basil Oil, Tomato Tartar + Grilled Ciabatta,"Roasted tomatoes bring concentrated sweetness and depth to this velvety tomato soup. Finished with basil oil, fresh tomato tartar, and grilled ciabatta, it's a modern take on a timeless comfort classic."
Summer Corn Chowder with Sweet Pepper Tartare,"A rich summer corn chowder with bacon, potatoes, and sweet peppers, thickened just enough for a spoon-coating finish. Topped with bright roasted sweet-pepper tartare, it's smoky, creamy, and sunshiney."
Thai Curry Butternut Squash Soup with Scallion Oil,"Creamy butternut squash soup gets bold Thai-curry flavor for a sweet-heat balance that's deeply comforting. Finished with fragrant scallion oil and crunchy wontons, it's silky, spicy, and satisfying."
